,C,Clojure,CoffeeScript,C++,C#,Dart,Erlang,Elixir,F#,Go,Groovy,Haskell,Java,Julia,JavaScript,Kotlin,Lisp,Lua,Objective-C,MATLAB,OCaml,PHP,Perl,PowerShell,Python,R,Ruby,Rust,Scala,Bash,Swift,TypeScript,Vim
C,1,0.2683182135380321,0.21249127704117232,0.4141660851360781,0.3269364968597348,0.2428471737613398,0.18527564549895326,0.2683182135380321,0.2609909281228192,0.3108862526168876,0.24808094905792044,0.15736217725052337,0.28227494766224703,0.26936496859734826,0.31786461967899515,0.32344731332868104,0.296231681786462,0.3126308443824145,0.2665736217725052,0.27983251919050944,0.2547103977669225,0.34019539427773904,0.15457083042568043,0.296231681786462,0.2648290300069783,0.24180041870202373,0.21842288904396367,0.2857641311933008,0.26308443824145145,0.31228192602930915,0.34019539427773904,0.30914166085136074,0.3014654570830426
Clojure,0.2683182135380321,1,0.2964352720450282,0.30855351545006715,0.2935483870967742,0.24640400250156347,0.23903818953323908,0.2741545893719807,0.2489055659787367,0.25743129556926525,0.3458411507191995,0.22013758599124456,0.27884615384615385,0.2914321450906817,0.3035516093229744,0.30178474851270953,0.35124153498871336,0.268760907504363,0.2682158330051201,0.28767979987492187,0.27454659161976236,0.28764705882352937,0.21138211382113825,0.2922636103151862,0.3552220137585991,0.26961394769613944,0.2870544090056285,0.30363864491844417,0.21763602251407133,0.2664165103189493,0.32451815329448674,0.2590293453724605,0.35497605109100583
CoffeeScript,0.21249127704117232,0.2964352720450282,1,0.26824899238692346,0.2737903225806452,0.3928571428571429,0.20827439886845822,0.24879227053140096,0.3238598810310641,0.29949523275378576,0.42198868229587716,0.24817518248175185,0.2434615384615385,0.30756843800322065,0.4039955604883463,0.3699296917252569,0.2501128668171557,0.37696335078534027,0.2465537613233556,0.2671063478977741,0.3423874195854182,0.36411764705882355,0.24726277372262773,0.3673352435530086,0.46351931330472107,0.3667496886674969,0.4251824817518248,0.2726892513592639,0.4298356510745891,0.33311518324607325,0.33886149708650826,0.44638826185101577,0.36721660457690264
C++,0.4141660851360781,0.30855351545006715,0.26824899238692346,1,0.3979838709677419,0.3336318853560233,0.23408769448373412,0.27294685990338163,0.3206448723690103,0.3152709359605911,0.32915360501567403,0.18271383788625173,0.3715384615384615,0.3130317957904165,0.40349305866547247,0.3918495297805643,0.27004030452306316,0.3372145096283027,0.3438361559669161,0.31258396775638153,0.2915360501567398,0.38513210927004027,0.18540080609046128,0.3887147335423198,0.33766233766233766,0.28884908195253023,0.27541424093148226,0.342116269343371,0.3081056874160323,0.3842364532019704,0.4030452306314375,0.4043887147335423,0.35960591133004927
C#,0.3269364968597348,0.2935483870967742,0.2737903225806452,0.3979838709677419,1,0.3213709677419355,0.2241867043847242,0.24154589371980673,0.3193548387096774,0.3326612903225806,0.3100806451612903,0.1689516129032258,0.3665384615384616,0.2911290322580645,0.3983870967741936,0.44314516129032255,0.3004032258064516,0.32741935483870965,0.3139031114612052,0.2870967741935484,0.2818548387096774,0.33951612903225803,0.18104838709677418,0.3637096774193549,0.3153225806451613,0.28548387096774197,0.2451612903225806,0.34395161290322585,0.33951612903225803,0.3431451612903226,0.41814516129032253,0.40846774193548385,0.33225806451612905
Dart,0.2428471737613398,0.24640400250156347,0.3928571428571429,0.3336318853560233,0.3213709677419355,1,0.2259547383309759,0.2628824476650563,0.3139458030403173,0.34997195737521036,0.30793650793650795,0.2603174603174603,0.3423076923076923,0.2857142857142857,0.4034406215316315,0.3948080043266631,0.24920993227990973,0.35020360674810935,0.33359590389917293,0.3055555555555556,0.31736954967834163,0.3429411764705882,0.28095238095238095,0.402865329512894,0.3912698412698413,0.31257783312577836,0.3595238095238096,0.3090757005437056,0.3647281921618205,0.32722513089005234,0.3411026445540116,0.4373589164785553,0.3086748270356573
Erlang,0.18527564549895326,0.23903818953323908,0.20827439886845822,0.23408769448373412,0.2241867043847242,0.2259547383309759,1,0.2676803394625177,0.2294908062234795,0.24717114568599718,0.22277227722772275,0.16902404526166903,0.2008486562942009,0.2418670438472419,0.24752475247524752,0.24080622347949077,0.2429278642149929,0.2588401697312589,0.19801980198019797,0.23550212164073547,0.24045261669024043,0.2616690240452617,0.1474540311173974,0.25318246110325315,0.23727015558698727,0.23620933521923626,0.21393210749646396,0.21994342291371993,0.23019801980198018,0.23620933521923626,0.2358557284299858,0.23727015558698727,0.26202263083451205
Elixir,0.2683182135380321,0.2741545893719807,0.24879227053140096,0.27294685990338163,0.24154589371980673,0.2628824476650563,0.2676803394625177,1,0.29549114331723025,0.2975040257648953,0.29589371980676327,0.1839774557165862,0.24423076923076925,0.30837359098228667,0.3063607085346216,0.29911433172302737,0.27294685990338163,0.3538647342995169,0.22095313115399762,0.3091787439613527,0.2870370370370371,0.3401771336553945,0.16344605475040253,0.3128019323671497,0.2971014492753623,0.2745571658615137,0.26771336553945246,0.24315619967793878,0.27657004830917875,0.30797101449275366,0.2741545893719807,0.30434782608695654,0.3317230273752013
F#,0.2609909281228192,0.2489055659787367,0.3238598810310641,0.3206448723690103,0.3193548387096774,0.3139458030403173,0.2294908062234795,0.29549114331723025,1,0.29332585530005606,0.34038334434897555,0.24785194976867153,0.29500000000000004,0.3436880370125578,0.316315205327414,0.34559221200649004,0.27674943566591426,0.31937172774869105,0.29105947223316264,0.3251817580964971,0.3522802379378718,0.28470588235294114,0.2200925313945803,0.34269340974212037,0.3959021810971579,0.27085927770859275,0.30270984798413747,0.3065662902551234,0.2718078381795196,0.30301047120418845,0.32003585835948,0.30925507900677196,0.31612559872272483
Go,0.3108862526168876,0.25743129556926525,0.29949523275378576,0.3152709359605911,0.3326612903225806,0.34997195737521036,0.24717114568599718,0.2975040257648953,0.29332585530005606,1,0.3090297251822771,0.22321929332585533,0.33499999999999996,0.39147504206393724,0.2869034406215316,0.32179556517036234,0.28442437923250563,0.3825014021312395,0.34029145332808197,0.4049355019629838,0.27593942793045434,0.31407739764441955,0.2439708356702187,0.3000560852495794,0.3421200224340998,0.2501402131239484,0.26808749298934376,0.28858218318695106,0.2938867077958497,0.3252944475602917,0.3218287763334827,0.31575995513180033,0.2847259180415115
Groovy,0.24808094905792044,0.3458411507191995,0.42198868229587716,0.32915360501567403,0.3100806451612903,0.30793650793650795,0.22277227722772275,0.29589371980676327,0.34038334434897555,0.3090297251822771,1,0.2425222312045271,0.2911538461538462,0.285024154589372,0.4322974472807991,0.42239048134126556,0.28261851015801354,0.38859802210587546,0.2930287514769594,0.2926434923201293,0.3309506790564689,0.40588235294117647,0.24333063864187554,0.43209169054441265,0.39773645917542444,0.3393524283935243,0.35974130962004847,0.31827687160184026,0.4121365360303414,0.3481675392670157,0.35723890632003585,0.43340857787810383,0.397019691325173
Haskell,0.15736217725052337,0.22013758599124456,0.24817518248175185,0.18271383788625173,0.1689516129032258,0.2603174603174603,0.16902404526166903,0.1839774557165862,0.24785194976867153,0.22321929332585533,0.2425222312045271,1,0.17384615384615387,0.2689210950080515,0.1992230854605993,0.20767982693347753,0.181941309255079,0.22047702152414195,0.17290271760535647,0.26957955482275353,0.25446747676912085,0.21705882352941175,0.18673883626522325,0.22063037249283668,0.255793991416309,0.22166874221668742,0.25468164794007486,0.1731493099121706,0.24525916561314787,0.21662303664921467,0.17884356790676825,0.20993227990970653,0.19531665779670038
Java,0.28227494766224703,0.27884615384615385,0.2434615384615385,0.3715384615384615,0.3665384615384616,0.3423076923076923,0.2008486562942009,0.24423076923076925,0.29500000000000004,0.33499999999999996,0.2911538461538462,0.17384615384615387,1,0.28230769230769226,0.36423076923076925,0.35307692307692307,0.2711538461538462,0.316923076923077,0.2926923076923077,0.29346153846153844,0.2619230769230769,0.3153846153846154,0.1726923076923077,0.3369230769230769,0.2846153846153846,0.25,0.22923076923076924,0.3092307692307692,0.3126923076923077,0.3026923076923077,0.34153846153846157,0.36576923076923074,0.2926923076923077
Julia,0.26936496859734826,0.2914321450906817,0.30756843800322065,0.3130317957904165,0.2911290322580645,0.2857142857142857,0.2418670438472419,0.30837359098228667,0.3436880370125578,0.39147504206393724,0.285024154589372,0.2689210950080515,0.28230769230769226,1,0.33018867924528306,0.33098972417522987,0.28036117381489845,0.4496800465386853,0.27372981488775106,0.6586151368760065,0.31522516082916374,0.3917647058823529,0.27938808373590984,0.3673352435530086,0.38647342995169087,0.30199252801992527,0.2971014492753623,0.27812630698452534,0.3021491782553729,0.3835078534031413,0.29672792469744513,0.3408577878103838,0.4225651942522618
JavaScript,0.31786461967899515,0.3035516093229744,0.4039955604883463,0.40349305866547247,0.3983870967741936,0.4034406215316315,0.24752475247524752,0.3063607085346216,0.316315205327414,0.2869034406215316,0.4322974472807991,0.1992230854605993,0.36423076923076925,0.33018867924528306,1,0.3899405083829097,0.32370203160270883,0.32852386237513875,0.3765261914139425,0.3340732519422863,0.32685904550499445,0.41620421753607106,0.22752497225305213,0.40954495005549385,0.4389567147613762,0.30521642619311873,0.3668146503884573,0.3730656629025513,0.3446170921198668,0.37957824639289683,0.42850739578664276,0.5266370699223085,0.37573177221926557
Kotlin,0.32344731332868104,0.30178474851270953,0.3699296917252569,0.3918495297805643,0.44314516129032255,0.3948080043266631,0.24080622347949077,0.29911433172302737,0.34559221200649004,0.32179556517036234,0.42239048134126556,0.20767982693347753,0.35307692307692307,0.33098972417522987,0.3899405083829097,1,0.2866817155756207,0.38561384532179555,0.3398975974793226,0.329367225527312,0.3234180638182802,0.41590048674959434,0.2157923201730665,0.3645213628988643,0.421308815575987,0.3028664142779881,0.329367225527312,0.4353826850690088,0.5164954029204976,0.3975121687398594,0.46526221425369785,0.4348296376419686,0.31133581692389567
Lisp,0.296231681786462,0.35124153498871336,0.2501128668171557,0.27004030452306316,0.3004032258064516,0.24920993227990973,0.2429278642149929,0.27294685990338163,0.27674943566591426,0.28442437923250563,0.28261851015801354,0.181941309255079,0.2711538461538462,0.28036117381489845,0.32370203160270883,0.2866817155756207,1,0.2889390519187359,0.25758172508861754,0.27810383747178324,0.27945823927765234,0.2979683972911964,0.17516930022573363,0.30925507900677196,0.3060948081264109,0.2934537246049661,0.24198645598194135,0.25595984943538264,0.2591422121896163,0.31196388261851016,0.2980726131779471,0.27358916478555306,0.3255079006772009
Lua,0.3126308443824145,0.268760907504363,0.37696335078534027,0.3372145096283027,0.32741935483870965,0.35020360674810935,0.2588401697312589,0.3538647342995169,0.31937172774869105,0.3825014021312395,0.38859802210587546,0.22047702152414195,0.316923076923077,0.4496800465386853,0.32852386237513875,0.38561384532179555,0.2889390519187359,1,0.3009058684521465,0.45433391506689935,0.3600930773705643,0.42233856893542754,0.2222222222222222,0.360458452722063,0.4281559045956952,0.2774869109947644,0.3612565445026178,0.33542450857381845,0.3315881326352531,0.3920884235020361,0.3411026445540116,0.3436794582392777,0.40553485896753594
Objective-C,0.2665736217725052,0.2682158330051201,0.2465537613233556,0.3438361559669161,0.3139031114612052,0.33359590389917293,0.19801980198019797,0.22095313115399762,0.29105947223316264,0.34029145332808197,0.2930287514769594,0.17290271760535647,0.2926923076923077,0.27372981488775106,0.3765261914139425,0.3398975974793226,0.25758172508861754,0.3009058684521465,1,0.29027176053564396,0.27372981488775106,0.30287514769594326,0.1756597085466719,0.35683339897597477,0.2961795982670342,0.26585269791256405,0.23276880661677823,0.25718786923985826,0.2835762111067349,0.32374950768018906,0.35762111067349345,0.3938558487593541,0.3064198503347775
MATLAB,0.27983251919050944,0.28767979987492187,0.2671063478977741,0.31258396775638153,0.2870967741935484,0.3055555555555556,0.23550212164073547,0.3091787439613527,0.3251817580964971,0.4049355019629838,0.2926434923201293,0.26957955482275353,0.29346153846153844,0.6586151368760065,0.3340732519422863,0.329367225527312,0.27810383747178324,0.45433391506689935,0.29027176053564396,1,0.3338098641887062,0.4294117647058824,0.291838417147568,0.363323782234957,0.36191261335531744,0.2895392278953923,0.28276999175597695,0.28649100794646587,0.3072060682680152,0.3920157068062827,0.29179740026893775,0.3702031602708804,0.39276210750399143
OCaml,0.2547103977669225,0.27454659161976236,0.3423874195854182,0.2915360501567398,0.2818548387096774,0.31736954967834163,0.24045261669024043,0.2870370370370371,0.3522802379378718,0.27593942793045434,0.3309506790564689,0.25446747676912085,0.2619230769230769,0.31522516082916374,0.32685904550499445,0.3234180638182802,0.27945823927765234,0.3600930773705643,0.27372981488775106,0.3338098641887062,1,0.32882352941176474,0.23945675482487494,0.3449856733524356,0.39313795568263044,0.2914072229140723,0.35167977126518946,0.2802174822250104,0.3305941845764855,0.331151832460733,0.30927835051546393,0.3414221218961625,0.34113890367216604
PHP,0.34019539427773904,0.28764705882352937,0.36411764705882355,0.38513210927004027,0.33951612903225803,0.3429411764705882,0.2616690240452617,0.3401771336553945,0.28470588235294114,0.31407739764441955,0.40588235294117647,0.21705882352941175,0.3153846153846154,0.3917647058823529,0.41620421753607106,0.41590048674959434,0.2979683972911964,0.42233856893542754,0.30287514769594326,0.4294117647058824,0.32882352941176474,1,0.25117647058823533,0.4257879656160458,0.4582352941176471,0.2917647058823529,0.3635294117647059,0.3312421580928482,0.3194117647058824,0.39941176470588236,0.37651277454056475,0.41478555304740405,0.3831825439063331
Perl,0.15457083042568043,0.21138211382113825,0.24726277372262773,0.18540080609046128,0.18104838709677418,0.28095238095238095,0.1474540311173974,0.16344605475040253,0.2200925313945803,0.2439708356702187,0.24333063864187554,0.18673883626522325,0.1726923076923077,0.27938808373590984,0.22752497225305213,0.2157923201730665,0.17516930022573363,0.2222222222222222,0.1756597085466719,0.291838417147568,0.23945675482487494,0.25117647058823533,1,0.23381088825214902,0.2532188841201717,0.22353673723536738,0.23782771535580527,0.1731493099121706,0.2231352718078382,0.2336387434554974,0.17615419094576423,0.23250564334085777,0.19425226184140498
PowerShell,0.296231681786462,0.2922636103151862,0.3673352435530086,0.3887147335423198,0.3637096774193549,0.402865329512894,0.25318246110325315,0.3128019323671497,0.34269340974212037,0.3000560852495794,0.43209169054441265,0.22063037249283668,0.3369230769230769,0.3673352435530086,0.40954495005549385,0.3645213628988643,0.30925507900677196,0.360458452722063,0.35683339897597477,0.363323782234957,0.3449856733524356,0.4257879656160458,0.23381088825214902,1,0.41833810888252154,0.3186246418338109,0.31977077363896844,0.34295273943956506,0.3300859598853868,0.4126074498567335,0.40923352756611386,0.3899548532731377,0.4097924427887174
Python,0.2648290300069783,0.3552220137585991,0.46351931330472107,0.33766233766233766,0.3153225806451613,0.3912698412698413,0.23727015558698727,0.2971014492753623,0.3959021810971579,0.3421200224340998,0.39773645917542444,0.255793991416309,0.2846153846153846,0.38647342995169087,0.4389567147613762,0.421308815575987,0.3060948081264109,0.4281559045956952,0.2961795982670342,0.36191261335531744,0.39313795568263044,0.4582352941176471,0.2532188841201717,0.41833810888252154,1,0.3524283935242839,0.5356223175965665,0.3237139272271017,0.3836915297092288,0.4051047120418848,0.36485880770954726,0.45316027088036115,0.40500266098988824
R,0.24180041870202373,0.26961394769613944,0.3667496886674969,0.28884908195253023,0.28548387096774197,0.31257783312577836,0.23620933521923626,0.2745571658615137,0.27085927770859275,0.2501402131239484,0.3393524283935243,0.22166874221668742,0.25,0.30199252801992527,0.30521642619311873,0.3028664142779881,0.2934537246049661,0.2774869109947644,0.26585269791256405,0.2895392278953923,0.2914072229140723,0.2917647058823529,0.22353673723536738,0.3186246418338109,0.3524283935242839,1,0.28268991282689915,0.2944374738603095,0.2521793275217933,0.2665006226650062,0.32451815329448674,0.28498871331828446,0.3629590207557212
Ruby,0.21842288904396367,0.2870544090056285,0.4251824817518248,0.27541424093148226,0.2451612903225806,0.3595238095238096,0.21393210749646396,0.26771336553945246,0.30270984798413747,0.26808749298934376,0.35974130962004847,0.25468164794007486,0.22923076923076924,0.2971014492753623,0.3668146503884573,0.329367225527312,0.24198645598194135,0.3612565445026178,0.23276880661677823,0.28276999175597695,0.35167977126518946,0.3635294117647059,0.23782771535580527,0.31977077363896844,0.5356223175965665,0.28268991282689915,1,0.2697616060225847,0.36536030341340076,0.3206806282722513,0.2828328103989243,0.3623024830699775,0.31665779670037253
Rust,0.2857641311933008,0.30363864491844417,0.2726892513592639,0.342116269343371,0.34395161290322585,0.3090757005437056,0.21994342291371993,0.24315619967793878,0.3065662902551234,0.28858218318695106,0.31827687160184026,0.1731493099121706,0.3092307692307692,0.27812630698452534,0.3730656629025513,0.4353826850690088,0.25595984943538264,0.33542450857381845,0.25718786923985826,0.28649100794646587,0.2802174822250104,0.3312421580928482,0.1731493099121706,0.34295273943956506,0.3237139272271017,0.2944374738603095,0.2697616060225847,1,0.35968214136344623,0.3195315767461313,0.35508155583437895,0.35800920117105817,0.3488080301129235
Scala,0.26308443824145145,0.21763602251407133,0.4298356510745891,0.3081056874160323,0.33951612903225803,0.3647281921618205,0.23019801980198018,0.27657004830917875,0.2718078381795196,0.2938867077958497,0.4121365360303414,0.24525916561314787,0.3126923076923077,0.3021491782553729,0.3446170921198668,0.5164954029204976,0.2591422121896163,0.3315881326352531,0.2835762111067349,0.3072060682680152,0.3305941845764855,0.3194117647058824,0.2231352718078382,0.3300859598853868,0.3836915297092288,0.2521793275217933,0.36536030341340076,0.35968214136344623,1,0.2831858407079646,0.4043030031376065,0.39277652370203164,0.2959020755721128
Bash,0.31228192602930915,0.2664165103189493,0.33311518324607325,0.3842364532019704,0.3431451612903226,0.32722513089005234,0.23620933521923626,0.30797101449275366,0.30301047120418845,0.3252944475602917,0.3481675392670157,0.21662303664921467,0.3026923076923077,0.3835078534031413,0.37957824639289683,0.3975121687398594,0.31196388261851016,0.3920884235020361,0.32374950768018906,0.3920157068062827,0.331151832460733,0.39941176470588236,0.2336387434554974,0.4126074498567335,0.4051047120418848,0.2665006226650062,0.3206806282722513,0.3195315767461313,0.2831858407079646,1,0.36978933213805465,0.39108352144469527,0.38903672166045766
Swift,0.34019539427773904,0.32451815329448674,0.33886149708650826,0.4030452306314375,0.41814516129032253,0.3411026445540116,0.2358557284299858,0.2741545893719807,0.32003585835948,0.3218287763334827,0.35723890632003585,0.17884356790676825,0.34153846153846157,0.29672792469744513,0.42850739578664276,0.46526221425369785,0.2980726131779471,0.3411026445540116,0.35762111067349345,0.29179740026893775,0.30927835051546393,0.37651277454056475,0.17615419094576423,0.40923352756611386,0.36485880770954726,0.32451815329448674,0.2828328103989243,0.35508155583437895,0.4043030031376065,0.36978933213805465,1,0.41999103541012994,0.40833706857911256
TypeScript,0.30914166085136074,0.2590293453724605,0.44638826185101577,0.4043887147335423,0.40846774193548385,0.4373589164785553,0.23727015558698727,0.30434782608695654,0.30925507900677196,0.31575995513180033,0.43340857787810383,0.20993227990970653,0.36576923076923074,0.3408577878103838,0.5266370699223085,0.4348296376419686,0.27358916478555306,0.3436794582392777,0.3938558487593541,0.3702031602708804,0.3414221218961625,0.41478555304740405,0.23250564334085777,0.3899548532731377,0.45316027088036115,0.28498871331828446,0.3623024830699775,0.35800920117105817,0.39277652370203164,0.39108352144469527,0.41999103541012994,1,0.3320915380521554
Vim,0.3014654570830426,0.35497605109100583,0.36721660457690264,0.35960591133004927,0.33225806451612905,0.3086748270356573,0.26202263083451205,0.3317230273752013,0.31612559872272483,0.2847259180415115,0.397019691325173,0.19531665779670038,0.2926923076923077,0.4225651942522618,0.37573177221926557,0.31133581692389567,0.3255079006772009,0.40553485896753594,0.3064198503347775,0.39276210750399143,0.34113890367216604,0.3831825439063331,0.19425226184140498,0.4097924427887174,0.40500266098988824,0.3629590207557212,0.31665779670037253,0.3488080301129235,0.2959020755721128,0.38903672166045766,0.40833706857911256,0.3320915380521554,1
